epoch,loss
1,0.645423564043912
2,0.583090446212075
3,0.5267746475609866
4,0.4737356819889762
5,0.42872716892849316
6,0.39033662324601953
7,0.35342647609385575
8,0.3238028267567808
9,0.2943361713127656
10,0.2708597149361264
11,0.24992521039464258
12,0.23218148133971475
13,0.21687575124881484
14,0.20373639870773663
15,0.19348276880654422
16,0.18467895077033478
17,0.17443828521804375
18,0.1682338626547293
19,0.16133644872091032
20,0.15417512319982052
21,0.14976209452883762
22,0.1428687386214733
23,0.13871126215566287
24,0.1331435072828423
25,0.12966079874472183
26,0.12675844945690848
27,0.12032502449371597
28,0.11783703010190617
29,0.11353915540332143
30,0.110108300620182
31,0.10728814554485408
32,0.10311070626432245
33,0.10084621963853185
34,0.09819283133203333
35,0.09495984568175944
36,0.09675038622861559
37,0.09174838103353977
38,0.08982655575329607
39,0.08542110093615272
40,0.084682745562697
41,0.08407803311605345
42,0.07953052900054237
43,0.0777740218591961
44,0.07667774622413245
45,0.07453872593627735
46,0.07285655433820053
47,0.07205931660295888
48,0.06988558901304548
49,0.06875604010102424
50,0.06576865149492567
